dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,1.01,20,822470.7707,822470.7707,456.9332914,195.7845411,2.333857866,-5.66E-13,,1.01,2.433063255
Syn_n_50000_d_2_seed_1,20,1.01,20,822968.0658,822968.0658,434.8087473,201.0506282,2.162682859,-1.46E-12,,1.05,3.505002901
Syn_n_50000_d_2_seed_2,20,1.01,20,827592.0665,827592.0665,432.2949102,190.7234869,2.26660553,-3.52E-13,,1.1,4.011005069
Syn_n_50000_d_2_seed_3,20,1.01,20,822430.1289,822430.1289,430.6177018,176.5817406,2.438630972,-1.84E-13,,1.2,4.687232839
Syn_n_50000_d_2_seed_4,20,1.01,20,828915.102,828915.102,422.4953678,169.7794905,2.488494733,-3.09E-13,,1.5,5.259377298
Syn_n_50000_d_2_seed_5,20,1.01,20,823692.9236,823692.9236,418.0244884,162.634094,2.570337364,-6.93E-13,,2,5.649194553
Syn_n_50000_d_2_seed_6,20,1.01,20,823930.0055,823930.383,420.0341251,186.6387272,2.250519661,4.58E-05,,5,6.273618629
Syn_n_50000_d_2_seed_7,20,1.01,20,825512.1283,825512.1283,406.4082549,157.6309912,2.578225587,-3.38E-13,,10,6.637642531
Syn_n_50000_d_2_seed_8,20,1.01,20,821197.6594,821197.6594,406.723567,140.9405816,2.885780394,-2.41E-13,,20,7.065858538
Syn_n_50000_d_2_seed_9,20,1.01,20,825649.5184,825649.5184,407.0006354,172.7875414,2.355497579,-4.23E-13,,50,8.348414144
average,,,,824435.8369,824435.8747,423.5341089,175.4551823,2.433063255,4.58059E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.05,20,822470.7707,822470.7707,456.5189939,120.3159614,3.794334423,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.05,20,822968.0658,822968.0658,436.3288305,172.0553653,2.535979216,-1.46E-12,,,
Syn_n_50000_d_2_seed_2,20,1.05,20,827592.0665,827592.0665,432.5323093,158.4128582,2.730411622,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.05,20,822430.1289,822430.1289,432.1484838,112.5943892,3.838099632,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.05,20,828915.102,828915.102,420.921382,114.0734339,3.68991594,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.05,20,823692.9236,823692.9236,421.2796202,99.96614456,4.214222945,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.05,20,823930.0055,823930.383,425.7350638,137.5638473,3.094817949,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.05,20,825512.1283,825512.1283,406.3435097,106.6034818,3.811728313,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.05,20,821197.6594,821197.6594,407.7897317,90.17040682,4.522434201,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.05,20,825649.5184,825649.5184,405.8886681,144.0299711,2.81808477,-4.23E-13,,,
average,,,,824435.8369,824435.8747,424.5486593,125.578586,3.505002901,4.58059E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.1,20,822470.7707,822470.7707,455.7896326,93.50843763,4.87431556,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.1,20,822968.0658,822973.112,434.4814038,150.8201053,2.880792338,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.1,20,827592.0665,827592.0665,434.3761222,149.1586943,2.912174341,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.1,20,822430.1289,822430.1289,430.0369108,102.9856248,4.175698421,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.1,20,828915.102,828915.102,421.6703386,99.42613697,4.241041154,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.1,20,823692.9236,823692.9236,418.3020985,81.94188261,5.104863169,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.1,20,823930.0055,823930.383,418.5203125,121.3499665,3.448870441,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.1,20,825512.1283,825512.1283,406.9697328,92.54697633,4.397439537,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.1,20,821197.6594,821197.6594,406.4035478,80.89982939,5.023540233,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.1,20,825649.5184,825649.5184,405.8477333,133.0074632,3.051315493,-4.23E-13,,,
average,,,,824435.8369,824436.3793,423.2397833,110.5645117,4.011005069,6.58973E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.2,20,822470.7707,822470.7707,453.9248743,66.20393443,6.856463716,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.2,20,822968.0658,822973.112,434.8556032,138.1195579,3.148399908,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.2,20,827592.0665,827592.0665,431.1540532,143.6338644,3.001757664,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.2,20,822430.1289,822430.1289,427.2894535,87.52291822,4.882029326,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.2,20,828915.102,828915.102,428.0141363,87.06617665,4.915963383,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.2,20,823692.9236,823692.9236,419.1886802,68.718225,6.100109253,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.2,20,823930.0055,823930.383,419.8324065,108.9980063,3.851743904,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.2,20,825512.1283,825512.1283,407.6535087,83.92536068,4.857334009,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.2,20,821197.6594,821197.6594,405.8601933,68.52498341,5.922806152,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.2,20,825649.5184,825649.5184,406.2451146,121.7862961,3.335721074,-4.23E-13,,,
average,,,,824435.8369,824436.3793,423.4018024,97.44993231,4.687232839,6.58973E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.5,20,822470.7707,822470.7707,439.4944611,52.30713153,8.402190069,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.5,20,822968.0658,822973.112,434.0313814,128.3043566,3.38282653,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.5,20,827592.0665,827592.0665,432.611655,135.2805018,3.197886237,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.5,20,822430.1289,822430.1289,429.0827382,82.18676019,5.220825559,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.5,20,828915.102,828915.102,424.0714605,76.76269388,5.524447346,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.5,20,823692.9236,823692.9236,420.6875832,62.17278743,6.766426287,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.5,20,823930.0055,823930.383,420.7487426,99.29693389,4.237278293,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.5,20,825512.1283,825512.1283,407.2856185,76.50603199,5.323575252,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.5,20,821197.6594,821197.6594,406.3279974,59.12736917,6.872079769,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.5,20,825649.5184,825649.5184,406.347939,110.8351338,3.666237637,-4.23E-13,,,
average,,,,824435.8369,824436.3793,422.0689577,88.27797003,5.259377298,6.58973E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,2,20,822470.7707,822470.7707,436.1507804,47.23443198,9.2337467,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,2,20,822968.0658,822988.2539,442.3789289,104.6625922,4.226714815,0.002453086,,,
Syn_n_50000_d_2_seed_2,20,2,20,827592.0665,827592.0665,432.6552317,133.5015147,3.240826389,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,2,20,822430.1289,822430.1289,426.9841161,77.76810765,5.49047841,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,2,20,828915.102,828915.102,425.2034035,70.25849104,6.05198599,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,2,20,823692.9236,823692.9236,420.2052121,57.9036572,7.256971881,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,2,20,823930.0055,823930.5724,418.2305632,100.7500665,4.151169102,6.88E-05,,,
Syn_n_50000_d_2_seed_7,20,2,20,825512.1283,825512.1283,407.7780178,72.12449718,5.653807426,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,2,20,821197.6594,821197.6594,406.616488,55.3449769,7.346944759,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,2,20,825649.5184,825649.5184,406.7878439,105.9536471,3.839300061,-4.23E-13,,,
average,,,,824435.8369,824437.9124,422.2990586,82.55019825,5.649194553,0.000252188,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,5,20,822470.7707,822470.7707,434.4080937,41.0884347,10.57251504,-5.24E-13,,,
Syn_n_50000_d_2_seed_1,20,5,20,822968.0658,822992.3896,435.6764135,97.11876583,4.486016784,0.00295562,,,
Syn_n_50000_d_2_seed_2,20,5,20,827592.0665,827592.0665,432.0224917,124.2297409,3.477609216,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,5,20,822430.1289,822434.6722,429.3485458,71.0110774,6.046219287,0.000552421,,,
Syn_n_50000_d_2_seed_4,20,5,20,828915.102,828915.102,423.2726774,66.29018116,6.385148902,-3.51E-13,,,
Syn_n_50000_d_2_seed_5,20,5,20,823692.9236,823692.9236,421.3324342,53.58370304,7.863070491,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,5,20,823930.0055,823930.5724,412.2821481,79.04160619,5.216014299,6.88E-05,,,
Syn_n_50000_d_2_seed_7,20,5,20,825512.1283,825515.5505,407.6086614,65.43249369,6.229453265,0.000414556,,,
Syn_n_50000_d_2_seed_8,20,5,20,821197.6594,821197.6594,406.4633389,48.14134789,8.443123359,-2.69E-13,,,
Syn_n_50000_d_2_seed_9,20,5,20,825649.5184,825653.371,406.9104478,101.2967045,4.017015654,0.000466606,,,
average,,,,824435.8369,824439.5078,420.9325253,74.72340553,6.273618629,0.0004458,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,10,20,822470.7707,822480.3915,432.2484944,37.88418555,11.40973438,0.001169748,,,
Syn_n_50000_d_2_seed_1,20,10,20,822968.0658,822995.0912,434.6171708,94.95757723,4.576961455,0.003283896,,,
Syn_n_50000_d_2_seed_2,20,10,20,827592.0665,827608.9832,430.9832017,125.8450706,3.424712622,0.002044087,,,
Syn_n_50000_d_2_seed_3,20,10,20,822430.1289,822434.6722,428.4243319,69.17999411,6.192893443,0.000552421,,,
Syn_n_50000_d_2_seed_4,20,10,20,828915.102,828971.1044,421.2349474,51.35265875,8.202787503,0.006756116,,,
Syn_n_50000_d_2_seed_5,20,10,20,823692.9236,823730.8662,418.1176248,61.36839223,6.813240653,0.004606403,,,
Syn_n_50000_d_2_seed_6,20,10,20,823930.0055,823934.9473,406.5569782,77.94795656,5.215749022,0.000599781,,,
Syn_n_50000_d_2_seed_7,20,10,20,825512.1283,825515.5505,406.9517903,65.89510012,6.175751909,0.000414556,,,
Syn_n_50000_d_2_seed_8,20,10,20,821197.6594,821227.2517,406.9617083,38.4855504,10.57440271,0.003603549,,,
Syn_n_50000_d_2_seed_9,20,10,20,825649.5184,825656.3827,406.0601983,107.1344776,3.790191611,0.000831382,,,
average,,,,824435.8369,824455.5241,419.2156446,73.00509632,6.637642531,0.002386194,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,20,20,822470.7707,822488.4463,433.0947309,37.45083594,11.56435417,0.002149086,,,
Syn_n_50000_d_2_seed_1,20,20,20,822968.0658,823017.8851,432.7025142,81.33448792,5.320037358,0.00605361,,,
Syn_n_50000_d_2_seed_2,20,20,20,827592.0665,827619.9805,430.8865833,118.0522983,3.649963529,0.003372923,,,
Syn_n_50000_d_2_seed_3,20,20,20,822430.1289,822434.1374,426.8183012,63.92604351,6.676751411,0.000487401,,,
Syn_n_50000_d_2_seed_4,20,20,20,828915.102,828989.6397,421.8833325,48.64090753,8.673426421,0.008992205,,,
Syn_n_50000_d_2_seed_5,20,20,20,823692.9236,823745.4367,416.8165424,60.11572719,6.933568999,0.006375326,,,
Syn_n_50000_d_2_seed_6,20,20,20,823930.0055,823930.7656,406.5442874,67.40895557,6.031013001,9.22E-05,,,
Syn_n_50000_d_2_seed_7,20,20,20,825512.1283,825544.5271,409.4201336,72.45112753,5.650983602,0.003924696,,,
Syn_n_50000_d_2_seed_8,20,20,20,821197.6594,821258.8401,406.1494002,33.21020317,12.2296572,0.007450182,,,
Syn_n_50000_d_2_seed_9,20,20,20,825649.5184,825663.2401,407.8944359,103.8208494,3.928829692,0.001661922,,,
average,,,,824435.8369,824469.2899,419.2210262,68.64114361,7.065858538,0.004055959,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,50,20,822470.7707,822492.0666,433.4582539,29.16898704,14.86024363,0.002589257,,,
Syn_n_50000_d_2_seed_1,20,50,20,822968.0658,823043.5413,433.329592,71.59203982,6.052762193,0.009171127,,,
Syn_n_50000_d_2_seed_2,20,50,20,827592.0665,827648.8526,429.7569649,98.87664104,4.34639527,0.006861602,,,
Syn_n_50000_d_2_seed_3,20,50,20,822430.1289,822463.6282,423.8790951,54.8198936,7.732213021,0.004073212,,,
Syn_n_50000_d_2_seed_4,20,50,20,828915.102,828987.2434,420.0700686,39.54275084,10.62318781,0.008703111,,,
Syn_n_50000_d_2_seed_5,20,50,20,823692.9236,823755.0296,421.1887808,47.60722756,8.847160449,0.007539953,,,
Syn_n_50000_d_2_seed_6,20,50,20,823930.0055,823969.4851,407.2173989,54.87924814,7.420243765,0.00479162,,,
Syn_n_50000_d_2_seed_7,20,50,20,825512.1283,825571.2588,407.8730574,63.73355317,6.399659788,0.007162892,,,
Syn_n_50000_d_2_seed_8,20,50,20,821197.6594,821335.6963,406.9507215,32.51510167,12.51574501,0.016809213,,,
Syn_n_50000_d_2_seed_9,20,50,20,825649.5184,825671.9679,406.4240866,86.72174144,4.686530504,0.002719012,,,
average,,,,824435.8369,824493.877,419.014802,57.94571843,8.348414144,0.0070421,,,
